ID,Name,Email,City,State,Mobile,Purchase_Count,Last_Purchase_Date,Feedback_Score
106,Raj Gupta,raj.gupta845@gmail.com,Pune,Karnataka,9310966994,7,2024-03-17,7
107,Vivaan Jain,vivaan.jain318@gmail.com,Hyderabad,Kerala,9773658995,15,2025-06-13,5
108,Ananya Sharma,ananya.sharma147@gmail.com,Bangalore,Tamil Nadu,9921395009,45,2024-05-04,3
109,Anika Kapoor,anika.kapoor736@gmail.com,Lucknow,West Bengal,9417346362,31,2025-07-17,3
110,Anika Patel,anika.patel185@gmail.com,Jaipur,Punjab,9107571398,27,2023-11-25,6
111,Sai Rana,sai.rana656@gmail.com,Nagpur,Maharashtra,9120227739,29,2024-01-31,5
112,Aditya Singh,aditya.singh633@gmail.com,Mumbai,Gujarat,9125394358,25,2025-01-09,5
113,Sai Joshi,sai.joshi490@gmail.com,Kochi,Rajasthan,9259914061,47,2024-03-07,1
114,Rohan Das,rohan.das521@gmail.com,Pune,Karnataka,9714496681,48,2025-09-21,1
115,Ishaan Yadav,ishaan.yadav856@gmail.com,Jaipur,Punjab,9964931769,20,2025-05-02,4
116,Vivaan Reddy,vivaan.reddy707@gmail.com,Bhubaneswar,Odisha,9447008236,7,2024-08-31,8
117,Isha Sharma,isha.sharma412@gmail.com,Chandigarh,Haryana,9757041830,26,2024-04-23,5
118,Krishna Patel,krishna.patel271@gmail.com,Chandigarh,Haryana,9101133852,7,2025-09-25,9
119,Isha Pillai,isha.pillai435@gmail.com,Indore,Uttar Pradesh,9793496246,14,2025-04-09,10
120,Vivaan Thakur,vivaan.thakur821@gmail.com,Patna,Bihar,9690771719,37,2025-06-06,1
121,Rohan Yadav,rohan.yadav924@gmail.com,Kochi,Rajasthan,9509797268,46,2023-10-13,10
122,Vihaan Yadav,vihaan.yadav702@gmail.com,Bhubaneswar,Odisha,9486896755,4,2025-03-26,3
123,Riya Mishra,riya.mishra196@gmail.com,Indore,Uttar Pradesh,9205532111,31,2024-09-02,6
124,Ishaan Singh,ishaan.singh683@gmail.com,Jaipur,Punjab,9539195158,23,2023-12-13,9
125,Aadhya Rana,aadhya.rana283@gmail.com,Mumbai,Gujarat,9935541014,19,2025-01-13,6
126,Aadhya Thakur,aadhya.thakur582@gmail.com,Kochi,Rajasthan,9306191459,9,2024-07-11,4
127,Priya Joshi,priya.joshi354@gmail.com,Hyderabad,Kerala,9920604362,30,2025-04-16,1
128,Priya Verma,priya.verma937@gmail.com,Bangalore,Tamil Nadu,9733799612,19,2024-03-21,5
129,Kavya Joshi,kavya.joshi596@gmail.com,Hyderabad,Kerala,9764332257,10,2023-10-28,6
130,Vihaan Ghosh,vihaan.ghosh359@gmail.com,Jaipur,Punjab,9969315194,40,2025-08-22,8
131,Priya Kapoor,priya.kapoor810@gmail.com,Chandigarh,Haryana,9306674736,27,2025-02-14,1
132,Krishna Pillai,krishna.pillai824@gmail.com,New Delhi,Delhi,9390278609,43,2025-03-29,8
133,Vivaan Chatterjee,vivaan.chatterjee520@gmail.com,Kolkata,Telangana,9228484969,40,2024-04-08,7
134,Isha Nair,isha.nair720@gmail.com,Jaipur,Punjab,9359191950,19,2025-02-17,2
135,Raj Yadav,raj.yadav498@gmail.com,Bhubaneswar,Odisha,9651631357,46,2025-07-17,8
136,Anika Chatterjee,anika.chatterjee612@gmail.com,Patna,Bihar,9789288000,48,2023-12-24,9
137,Diya Patel,diya.patel768@gmail.com,Mumbai,Gujarat,9912534678,45,2025-05-14,2
138,Riya Kumar,riya.kumar15@gmail.com,Mumbai,Gujarat,9578209142,0,2024-09-07,6
139,Riya Mishra,riya.mishra732@gmail.com,Lucknow,West Bengal,9641981582,29,2024-08-05,9
140,Vivaan Singh,vivaan.singh929@gmail.com,Jaipur,Punjab,9674239288,50,2024-08-01,10
141,Sai Thakur,sai.thakur127@gmail.com,Hyderabad,Kerala,9148721971,40,2025-01-10,2
142,Priya Ghosh,priya.ghosh991@gmail.com,Mumbai,Gujarat,9686799089,2,2025-02-13,9
143,Aarav Yadav,aarav.yadav690@gmail.com,Pune,Karnataka,9763024637,5,2023-10-16,9
144,Riya Reddy,riya.reddy725@gmail.com,Jaipur,Punjab,9638829123,16,2024-08-16,6
145,Aadhya Sharma,aadhya.sharma459@gmail.com,Bangalore,Tamil Nadu,9825556768,14,2024-01-17,1
146,Arjun Rana,arjun.rana134@gmail.com,Pune,Karnataka,9708741453,1,2024-05-18,7
147,Krishna Ghosh,krishna.ghosh552@gmail.com,New Delhi,Delhi,9193741398,11,2024-11-01,6
148,Ishaan Kumar,ishaan.kumar660@gmail.com,Mumbai,Gujarat,9613260014,27,2024-11-26,3
149,Diya Nair,diya.nair682@gmail.com,Jaipur,Punjab,9167080874,28,2024-07-26,9
150,Aditya Nair,aditya.nair647@gmail.com,Jaipur,Punjab,9340891778,35,2024-07-26,5
151,Anika Nair,anika.nair321@gmail.com,Jaipur,Punjab,9976730624,46,2025-04-17,7
152,Vivaan Rana,vivaan.rana930@gmail.com,Kolkata,Telangana,9948683494,5,2024-12-05,8
153,Aarav Gupta,aarav.gupta190@gmail.com,Patna,Bihar,9322357047,6,2024-11-13,1
154,Aditya Bose,aditya.bose123@gmail.com,Bangalore,Tamil Nadu,9751828990,37,2024-03-08,7
155,Anika Joshi,anika.joshi819@gmail.com,Kolkata,Telangana,9399797098,22,2024-11-14,6
156,Riya Singh,riya.singh909@gmail.com,Chennai,Madhya Pradesh,9646221633,38,2023-12-28,8
157,Ananya Sharma,ananya.sharma461@gmail.com,Mumbai,Gujarat,9623178114,21,2025-01-14,3
158,Aditya Mishra,aditya.mishra469@gmail.com,Chennai,Madhya Pradesh,9708968965,33,2024-05-31,3
159,Anika Patel,anika.patel739@gmail.com,Chennai,Madhya Pradesh,9611557958,25,2024-01-12,3
160,Saanvi Mishra,saanvi.mishra743@gmail.com,Lucknow,West Bengal,9928603866,48,2024-02-18,5
161,Diya Nair,diya.nair900@gmail.com,Bhubaneswar,Odisha,9761102321,46,2025-01-10,2
162,Sai Nair,sai.nair591@gmail.com,Bhubaneswar,Odisha,9136661201,0,2025-08-20,6
163,Aditya Joshi,aditya.joshi333@gmail.com,Bhubaneswar,Odisha,9383934639,34,2024-12-13,10
164,Vihaan Singh,vihaan.singh944@gmail.com,Kolkata,Telangana,9863068613,14,2025-09-22,5
165,Ananya Joshi,ananya.joshi530@gmail.com,New Delhi,Delhi,9170540666,17,2024-07-20,9
166,Aditya Kumar,aditya.kumar85@gmail.com,Mumbai,Gujarat,9636038053,21,2025-09-03,6
167,Rohan Pillai,rohan.pillai279@gmail.com,Jaipur,Punjab,9410705116,5,2024-12-05,1
168,Raj Thakur,raj.thakur30@gmail.com,Nagpur,Maharashtra,9520966339,32,2025-07-17,10
169,Saanvi Kapoor,saanvi.kapoor936@gmail.com,Chandigarh,Haryana,9314905258,16,2024-05-03,4
170,Rohan Rana,rohan.rana571@gmail.com,Jaipur,Punjab,9448189492,6,2024-03-25,5
171,Raj Gupta,raj.gupta232@gmail.com,Bangalore,Tamil Nadu,9276100147,49,2025-07-10,5
172,Vivaan Nair,vivaan.nair254@gmail.com,New Delhi,Delhi,9853425214,15,2024-10-06,10
173,Kavya Jain,kavya.jain304@gmail.com,Lucknow,West Bengal,9301777671,6,2024-07-30,1
174,Riya Kapoor,riya.kapoor54@gmail.com,Kochi,Rajasthan,9364816320,36,2025-03-28,7
175,Raj Singh,raj.singh830@gmail.com,Hyderabad,Kerala,9915418159,10,2024-01-26,3
176,Rohan Thakur,rohan.thakur704@gmail.com,Kolkata,Telangana,9827482597,11,2024-06-02,2
177,Rohan Gupta,rohan.gupta434@gmail.com,Hyderabad,Kerala,9162143343,10,2024-12-03,8
178,Ishaan Verma,ishaan.verma61@gmail.com,Mumbai,Gujarat,9331776074,36,2024-04-27,6
179,Kavya Reddy,kavya.reddy277@gmail.com,Pune,Karnataka,9902449377,40,2024-06-29,3
180,Vivaan Patel,vivaan.patel95@gmail.com,Kolkata,Telangana,9409291013,44,2024-10-04,10
181,Raj Patel,raj.patel820@gmail.com,Bhubaneswar,Odisha,9359545140,2,2024-09-26,2
182,Sai Ghosh,sai.ghosh572@gmail.com,Kochi,Rajasthan,9492974960,31,2025-02-15,6
183,Kavya Reddy,kavya.reddy485@gmail.com,Pune,Karnataka,9863655510,29,2025-02-14,8
184,Saanvi Sharma,saanvi.sharma631@gmail.com,Chandigarh,Haryana,9774003518,18,2024-03-07,6
185,Diya Kumar,diya.kumar915@gmail.com,Pune,Karnataka,9981997073,35,2025-09-30,1
186,Vivaan Singh,vivaan.singh584@gmail.com,Chandigarh,Haryana,9953957170,45,2024-08-15,9
187,Ishaan Chatterjee,ishaan.chatterjee92@gmail.com,Hyderabad,Kerala,9848290580,23,2023-12-29,6
188,Saanvi Chatterjee,saanvi.chatterjee454@gmail.com,Indore,Uttar Pradesh,9676904856,25,2024-03-27,9
189,Saanvi Yadav,saanvi.yadav291@gmail.com,New Delhi,Delhi,9246031506,45,2023-12-12,9
190,Ishaan Bose,ishaan.bose753@gmail.com,Hyderabad,Kerala,9301896662,44,2025-06-21,6
191,Isha Reddy,isha.reddy795@gmail.com,Chandigarh,Haryana,9409101032,25,2024-02-04,1
192,Ishaan Yadav,ishaan.yadav741@gmail.com,Indore,Uttar Pradesh,9751044285,31,2023-12-22,4
193,Krishna Verma,krishna.verma68@gmail.com,Kolkata,Telangana,9513517238,37,2025-02-22,9
194,Diya Patel,diya.patel268@gmail.com,Chennai,Madhya Pradesh,9953116963,5,2024-01-05,6
195,Diya Verma,diya.verma185@gmail.com,Chennai,Madhya Pradesh,9130779245,31,2025-06-29,8
196,Ananya Jain,ananya.jain193@gmail.com,Mumbai,Gujarat,9893834941,40,2025-06-01,5
197,Aditya Verma,aditya.verma999@gmail.com,Chandigarh,Haryana,9761388718,1,2024-04-04,7
198,Aadhya Singh,aadhya.singh118@gmail.com,Lucknow,West Bengal,9328670438,29,2024-05-21,2
199,Saanvi Joshi,saanvi.joshi666@gmail.com,Chandigarh,Haryana,9241149965,49,2024-04-06,5
200,Arjun Kumar,arjun.kumar678@gmail.com,Chennai,Madhya Pradesh,9999898973,24,2024-10-16,2
201,Rohan Singh,rohan.singh280@gmail.com,Bangalore,Tamil Nadu,9927549482,24,2025-04-02,6
202,Raj Das,raj.das967@gmail.com,Jaipur,Punjab,9233509197,33,2024-01-04,2
203,Riya Chatterjee,riya.chatterjee279@gmail.com,Bhubaneswar,Odisha,9864491671,35,2024-11-16,6
204,Ishaan Joshi,ishaan.joshi786@gmail.com,Pune,Karnataka,9943723724,6,2025-01-12,6
205,Meera Chatterjee,meera.chatterjee96@gmail.com,Indore,Uttar Pradesh,9168062119,2,2025-07-12,5
206,Ishaan Rana,ishaan.rana742@gmail.com,New Delhi,Delhi,9160818938,21,2024-01-02,2
207,Vihaan Singh,vihaan.singh230@gmail.com,Lucknow,West Bengal,9990515438,44,2024-08-11,4
208,Arjun Thakur,arjun.thakur404@gmail.com,Kolkata,Telangana,9434721227,16,2025-03-08,9
209,Sai Chatterjee,sai.chatterjee431@gmail.com,Mumbai,Gujarat,9194944558,27,2024-08-04,4
210,Saanvi Joshi,saanvi.joshi272@gmail.com,Kolkata,Telangana,9367270129,43,2024-11-07,10
211,Raj Jain,raj.jain443@gmail.com,Lucknow,West Bengal,9485574607,42,2024-02-16,5
212,Arjun Reddy,arjun.reddy816@gmail.com,Bhubaneswar,Odisha,9394717511,34,2024-04-07,7
213,Meera Bose,meera.bose566@gmail.com,Nagpur,Maharashtra,9724811171,15,2025-08-03,8
214,Meera Jain,meera.jain920@gmail.com,Chennai,Madhya Pradesh,9719527597,5,2025-09-07,1
215,Arjun Gupta,arjun.gupta109@gmail.com,Mumbai,Gujarat,9937425214,29,2024-10-12,2
216,Kavya Joshi,kavya.joshi996@gmail.com,Pune,Karnataka,9682768522,26,2025-04-20,6
217,Rohan Rana,rohan.rana913@gmail.com,Indore,Uttar Pradesh,9374447499,49,2024-08-14,1
218,Diya Jain,diya.jain336@gmail.com,Chennai,Madhya Pradesh,9871907377,32,2024-05-31,8
219,Isha Thakur,isha.thakur260@gmail.com,Hyderabad,Kerala,9821942639,43,2025-01-17,8
220,Anika Joshi,anika.joshi289@gmail.com,Hyderabad,Kerala,9823428930,48,2025-05-14,8
221,Aadhya Joshi,aadhya.joshi70@gmail.com,Jaipur,Punjab,9935228769,19,2024-05-08,10
222,Vivaan Pillai,vivaan.pillai566@gmail.com,Bhubaneswar,Odisha,9282146739,0,2023-11-23,1
223,Riya Reddy,riya.reddy826@gmail.com,New Delhi,Delhi,9148161977,0,2025-01-09,2
224,Ishaan Verma,ishaan.verma366@gmail.com,Chennai,Madhya Pradesh,9443885749,35,2025-02-26,9
225,Priya Singh,priya.singh932@gmail.com,Kolkata,Telangana,9498881661,26,2025-08-18,10
226,Ishaan Nair,ishaan.nair890@gmail.com,Patna,Bihar,9291509273,44,2024-12-13,3
227,Aditya Gupta,aditya.gupta646@gmail.com,Chandigarh,Haryana,9283211393,37,2025-06-16,1
228,Kavya Bose,kavya.bose681@gmail.com,Kochi,Rajasthan,9296777530,6,2024-07-16,7
229,Arjun Kapoor,arjun.kapoor38@gmail.com,Pune,Karnataka,9787340092,50,2024-07-16,10
230,Isha Reddy,isha.reddy715@gmail.com,Bangalore,Tamil Nadu,9186655522,25,2025-03-25,7
231,Raj Kapoor,raj.kapoor921@gmail.com,Pune,Karnataka,9260631746,33,2025-09-02,8
232,Arjun Kumar,arjun.kumar998@gmail.com,Mumbai,Gujarat,9186670654,24,2024-10-11,6
233,Vihaan Ghosh,vihaan.ghosh711@gmail.com,Hyderabad,Kerala,9114526495,17,2025-04-15,6
234,Aadhya Reddy,aadhya.reddy653@gmail.com,Pune,Karnataka,9691933134,46,2024-01-25,5
235,Anika Joshi,anika.joshi284@gmail.com,Kolkata,Telangana,9364011781,27,2023-11-26,2
236,Anika Sharma,anika.sharma37@gmail.com,Lucknow,West Bengal,9625039513,46,2024-06-29,3
237,Riya Jain,riya.jain704@gmail.com,Hyderabad,Kerala,9711409997,22,2025-02-24,10
238,Vivaan Yadav,vivaan.yadav812@gmail.com,Jaipur,Punjab,9370964504,45,2025-09-06,1
239,Ananya Chatterjee,ananya.chatterjee202@gmail.com,Indore,Uttar Pradesh,9938725513,43,2024-12-11,6
240,Isha Kapoor,isha.kapoor995@gmail.com,Chennai,Madhya Pradesh,9294437484,14,2025-03-07,2
241,Krishna Pillai,krishna.pillai268@gmail.com,Hyderabad,Kerala,9848465904,6,2024-12-31,8
242,Priya Das,priya.das82@gmail.com,Bangalore,Tamil Nadu,9226893041,2,2025-06-30,4
243,Saanvi Reddy,saanvi.reddy181@gmail.com,New Delhi,Delhi,9516648496,46,2023-10-17,2
244,Ishaan Pillai,ishaan.pillai557@gmail.com,Chandigarh,Haryana,9764111405,1,2025-06-25,2
245,Krishna Gupta,krishna.gupta245@gmail.com,Jaipur,Punjab,9843662497,13,2024-06-04,10
246,Vivaan Patel,vivaan.patel903@gmail.com,Lucknow,West Bengal,9533095914,29,2024-09-28,2
247,Vivaan Thakur,vivaan.thakur572@gmail.com,Indore,Uttar Pradesh,9702870942,30,2024-06-21,6
248,Saanvi Pillai,saanvi.pillai854@gmail.com,Kolkata,Telangana,9411073463,11,2023-11-03,9
249,Vihaan Pillai,vihaan.pillai973@gmail.com,Nagpur,Maharashtra,9273241462,35,2024-01-21,7
250,Diya Reddy,diya.reddy468@gmail.com,Bhubaneswar,Odisha,9127195702,3,2025-01-24,8
251,Aarav Singh,aarav.singh323@gmail.com,Lucknow,West Bengal,9146935078,35,2024-01-09,7
252,Aadhya Pillai,aadhya.pillai295@gmail.com,Chandigarh,Haryana,9624594851,34,2024-11-09,7
253,Saanvi Ghosh,saanvi.ghosh607@gmail.com,Kochi,Rajasthan,9484118526,45,2023-12-26,4
254,Arjun Thakur,arjun.thakur180@gmail.com,Lucknow,West Bengal,9548841956,22,2025-09-11,10
255,Krishna Nair,krishna.nair195@gmail.com,Bhubaneswar,Odisha,9492136105,38,2025-09-14,7
256,Raj Chatterjee,raj.chatterjee21@gmail.com,Nagpur,Maharashtra,9652711443,7,2024-03-17,9
257,Anika Joshi,anika.joshi55@gmail.com,Mumbai,Gujarat,9817623888,0,2025-04-16,9
258,Rohan Kapoor,rohan.kapoor348@gmail.com,Kochi,Rajasthan,9651398126,21,2025-06-02,5
259,Kavya Pillai,kavya.pillai70@gmail.com,Kolkata,Telangana,9447215383,4,2024-03-28,10
